galaxy,ups_d,ups_b,resid
CamB,0.3227645990165109,0.7,0.6410015810849896
D564-8,0.8,0.7,2.172050451287232
D631-7,0.8,0.7,6.120562299501576
DDO064,0.8,0.7,4.375468314793323
DDO154,0.8,0.7,5.817764395587016
DDO161,0.8,0.7,5.2126518264307595
DDO168,0.8,0.7,2.0358260571306777
DDO170,0.8,0.7,2.4043585239087824
ESO079-G014,0.8,0.7,1.0730020590813
ESO116-G012,0.8,0.7,2.797273376414666
ESO444-G084,0.8,0.7,4.887395921734592
ESO563-G021,0.8,0.7,3.688022433826889
F561-1,0.8,0.7,0.055633336925985745
F563-1,0.8,0.7,12.431478291535763
F563-V1,0.8,0.7,0.05568653076993444
F563-V2,0.8,0.7,5.47508282291874
F565-V2,0.8,0.7,4.23196604714539
F567-2,0.8,0.7,0.4695020514248322
F568-1,0.8,0.7,6.512393512678832
F568-3,0.8,0.7,4.293452069227622
F568-V1,0.8,0.7,8.503746262448665
F571-8,0.8,0.7,3.885373919441102
F571-V1,0.8,0.7,2.2346568910342675
F574-1,0.8,0.7,4.153707488643314
F574-2,0.46607921269554836,0.7,0.09474608094874035
F579-V1,0.8,0.7,4.174407605094005
F583-1,0.8,0.7,13.44432150838658
F583-4,0.8,0.7,2.610355204479292
IC2574,0.8,0.7,7.278267763515902
IC4202,0.8,0.5,2.220465551292919
KK98-251,0.8,0.7,1.763975546056551
NGC0024,0.8,0.7,6.356566697130668
NGC0055,0.8,0.7,2.2583797638941334
NGC0100,0.8,0.7,3.8209640217683916
NGC0247,0.8,0.7,5.752026298953088
NGC0289,0.8,0.7,4.3384390191087405
NGC0300,0.8,0.7,7.4826106214788
NGC0801,0.8,0.7,0.3212900175452158
NGC0891,0.7151771203844983,0.5,0.4178279375125163
NGC1003,0.8,0.7,13.614605188748063
NGC1090,0.8,0.7,1.5087332036403795
NGC1705,0.8,0.7,8.380812097092221
NGC2366,0.8,0.7,4.106078051676633
NGC2403,0.8,0.7,10.488754462567496
NGC2683,0.8,1.5,0.6929264286538925
NGC2841,0.8,1.5,6.535459902877044
NGC2903,0.8,0.7,4.1413061592429266
NGC2915,0.8,0.7,24.724798291469007
NGC2955,0.8,0.7212508111241118,0.2044114863570774
NGC2976,0.8,0.7,0.4330601130148531
NGC2998,0.8,0.7,1.22893938387069
NGC3109,0.8,0.7,15.65929711918669
NGC3198,0.8,0.7,5.367452064982741
NGC3521,0.6826225472620573,0.7,0.5284311447744064
NGC3726,0.8,0.7,0.6830099685439758
NGC3741,0.8,0.7,16.172349886473643
NGC3769,0.8,0.7,2.0125305851201194
NGC3877,0.6953427873185951,0.7,0.6571679605917662
NGC3893,0.8,0.7,0.4583187607741139
NGC3917,0.8,0.7,1.432785921795071
NGC3949,0.7123213293912511,0.7,0.06252541633635987
NGC3953,0.8,0.7,0.010396870859423507
NGC3972,0.8,0.7,0.658248093027062
NGC3992,0.8,0.7,0.7897020915676104
NGC4010,0.8,0.7,0.5058186897682448
NGC4013,0.8,1.5,2.1890003643763416
NGC4051,0.696833685338668,0.7,0.029573598265151834
NGC4068,0.8,0.7,0.29208835876765243
NGC4085,0.5423203267920762,0.7,0.30958411109207024
NGC4088,0.6050128789862248,0.7,0.20423674756718158
NGC4100,0.8,0.7,1.442578126975608
NGC4138,0.8,1.5,0.29223434562182604
NGC4157,0.8,0.5,0.7070269067955712
NGC4183,0.8,0.7,3.790907179928413
NGC4214,0.8,0.7,4.957524074663036
NGC4217,0.8,0.5225165824799504,1.5305824729284006
NGC4389,0.3,0.7,0.35372130928785406
NGC4559,0.8,0.7,1.9320199315751636
NGC5005,0.7435986340477956,0.5,0.047511069622746954
NGC5033,0.8,1.5,2.227161393986631
NGC5055,0.8,0.7,1.775637969594387
NGC5371,0.7979505474019446,0.7,0.11600038386997077
NGC5585,0.8,0.7,2.93143535314979
NGC5907,0.8,0.7,1.4567721281485049
NGC5985,0.8,1.5,3.9608471294371963
NGC6015,0.8,0.7,6.045186388253597
NGC6195,0.8,0.645246324167808,0.10132499157158367
NGC6503,0.8,0.7,7.021411913739552
NGC6674,0.8,1.5,2.4919021598501745
NGC6946,0.8,0.5008526645240596,1.068464992197898
NGC7331,0.8,0.5,1.2837417683194166
NGC7793,0.8,0.7,2.0398606077273693
NGC7814,0.8,1.5,0.882726235547478
PGC51017,0.8,0.7,0.3273187516272627
UGC00128,0.8,0.7,11.2043452234287
UGC00191,0.8,0.7,1.8769379784576936
UGC00731,0.8,0.7,9.423424048194509
UGC00891,0.8,0.7,1.6672813284104764
UGC01230,0.8,0.7,3.3945425287543074
UGC01281,0.8,0.7,8.738297903658744
UGC02023,0.8,0.7,0.21115173616194077
UGC02259,0.8,0.7,3.5122189852241172
UGC02455,0.3,0.7,0.49657584508307157
UGC02487,0.8,1.5,2.35437528457767
UGC02885,0.8,1.5,1.5814321166602336
UGC02916,0.8,0.8631096186591207,1.0328203583556923
UGC02953,0.8,0.9770677021852892,8.520481516725896
UGC03205,0.8,1.5,1.8950097563236517
UGC03546,0.8,0.5,1.0756791938173618
UGC03580,0.8,0.5,4.960635005927073
UGC04278,0.8,0.7,6.709720206387024
UGC04305,0.7602474424426612,0.7,0.5741288576872517
UGC04325,0.8,0.7,2.776060948117652
UGC04483,0.8,0.7,1.2108988738253135
UGC04499,0.8,0.7,1.3823300544288044
UGC05005,0.8,0.7,2.4773647620949353
UGC05253,0.8,0.8807088017428796,2.4513556497508886
UGC05414,0.8,0.7,0.5261095512189911
UGC05716,0.8,0.7,5.704028405518445
UGC05721,0.8,0.7,9.693307510657679
UGC05750,0.8,0.7,1.9401387390994314
UGC05764,0.8,0.7,7.571228736842053
UGC05829,0.8,0.7,3.7023752096481903
UGC05918,0.8,0.7,4.001451977021729
UGC05986,0.8,0.7,3.3845440906734567
UGC05999,0.8,0.7,1.3143327277049295
UGC06399,0.8,0.7,2.1572418379618243
UGC06446,0.8,0.7,7.32299701384097
UGC06614,0.8,1.3363054472687588,1.001720544078057
UGC06628,0.7489771239295046,0.7,0.07086504383712788
UGC06667,0.8,0.7,9.617333675595892
UGC06786,0.8,1.5,3.6318658895362153
UGC06787,0.8,1.1839504931673215,6.3951758904632845
UGC06818,0.8,0.7,1.1335420235447167
UGC06917,0.8,0.7,1.7403542268194325
UGC06923,0.8,0.7,0.3631933640930273
UGC06930,0.8,0.7,1.5354365065108917
UGC06973,0.5519306928995431,0.5,0.3775756838713391
UGC06983,0.8,0.7,4.611527693969197
UGC07089,0.8,0.7,0.9077048721743227
UGC07125,0.8,0.7,1.0740349873227917
UGC07151,0.8,0.7,0.9860786607852879
UGC07261,0.8,0.7,1.2938313711628096
UGC07323,0.8,0.7,0.41955473317955067
UGC07399,0.8,0.7,5.844711207089372
UGC07524,0.8,0.7,8.115207792995742
UGC07559,0.8,0.7,0.565341427819976
UGC07577,0.7525112556650306,0.7,0.0890543349526702
UGC07603,0.8,0.7,3.9917853052117502
UGC07608,0.8,0.7,4.784444515870469
UGC07690,0.8,0.7,0.6114721036466526
UGC07866,0.8,0.7,0.882371300507881
UGC08286,0.8,0.7,7.029945371249014
UGC08490,0.8,0.7,13.333860620432459
UGC08550,0.8,0.7,4.399831301187385
UGC08699,0.8,1.1227601699481515,2.209314133845956
UGC08837,0.8,0.7,0.49406968370659643
UGC09037,0.8,0.7,1.0264038201600114
UGC09133,0.8,1.2704577730374194,5.619866956453832
UGC09992,0.8,0.7,0.31659272076940687
UGC10310,0.8,0.7,1.423884668324598
UGC11455,0.7627213439744978,0.7,1.032110336848822
UGC11557,0.35841336292431714,0.7,1.739054305942951
UGC11820,0.8,0.7,3.2241981497833248
UGC11914,0.8,0.9346703202614195,0.16797813252000027
UGC12506,0.8,0.7,7.27157469504179
UGC12632,0.8,0.7,5.384953199471398
UGC12732,0.8,0.7,6.51620309248689
UGCA281,0.8,0.7,1.0034218234443621
UGCA442,0.8,0.7,3.8754452219259115
UGCA444,0.8,0.7,16.786831503665287
