Galaxy,Passes,Reason
CamB,False,Range | OuterR | g_obs<<g_bar
D512-2,False,Points(4<5) | Range | OuterR
D564-8,False,Range | OuterR
D631-7,False,Points(3<5) | Range | InnerR
DDO064,False,Range | OuterR
DDO154,False,OuterR
DDO161,True,PASS
DDO168,False,OuterR
DDO170,True,PASS
ESO079-G014,True,PASS
ESO116-G012,True,PASS
ESO444-G084,False,OuterR
ESO563-G021,False,g_obs<<g_bar
F561-1,True,PASS
F563-1,True,PASS
F563-V1,True,PASS
F563-V2,True,PASS
F565-V2,True,PASS
F567-2,True,PASS
F568-1,True,PASS
F568-3,True,PASS
F568-V1,True,PASS
F571-8,False,g_obs<<g_bar
F571-V1,True,PASS
F574-1,True,PASS
F574-2,False,g_obs<<g_bar
F579-V1,True,PASS
F583-1,True,PASS
F583-4,True,PASS
IC2574,True,PASS
IC4202,False,g_obs<<g_bar
KK98-251,False,Range | OuterR
NGC0024,True,PASS
NGC0055,True,PASS
NGC0100,True,PASS
NGC0247,True,PASS
NGC0289,True,PASS
NGC0300,True,PASS
NGC0801,True,PASS
NGC0891,False,g_obs<<g_bar
NGC1003,True,PASS
NGC1090,False,g_obs<<g_bar
NGC1705,True,PASS
NGC2366,True,PASS
NGC2403,True,PASS
NGC2683,True,PASS
NGC2841,False,InnerR
NGC2903,False,g_obs<<g_bar
NGC2915,False,g_obs<<g_bar
NGC2955,True,PASS
NGC2976,False,Range | OuterR | g_obs<<g_bar
NGC2998,True,PASS
NGC3109,True,PASS
NGC3198,False,g_obs<<g_bar
NGC3521,True,PASS
NGC3726,False,InnerR
NGC3741,True,PASS
NGC3769,True,PASS
NGC3877,False,g_obs<<g_bar
NGC3893,True,PASS
NGC3917,True,PASS
NGC3949,True,PASS
NGC3953,False,InnerR
NGC3972,True,PASS
NGC3992,False,InnerR
NGC4010,True,PASS
NGC4013,False,InnerR
NGC4051,True,PASS
NGC4068,False,Range | OuterR
NGC4085,False,g_obs<<g_bar
NGC4088,True,PASS
NGC4100,True,PASS
NGC4138,True,PASS
NGC4157,True,PASS
NGC4183,True,PASS
NGC4214,False,OuterR
NGC4217,False,g_obs<<g_bar
NGC4389,False,OuterR | g_obs<<g_bar
NGC4559,True,PASS
NGC5005,True,PASS
NGC5033,True,PASS
NGC5055,True,PASS
NGC5371,True,PASS
NGC5585,True,PASS
NGC5907,False,InnerR
NGC5985,False,InnerR
NGC6015,True,PASS
NGC6195,True,PASS
NGC6503,True,PASS
NGC6674,True,PASS
NGC6789,False,Points(4<5) | Range | OuterR
NGC6946,False,g_obs<<g_bar
NGC7331,True,PASS
NGC7793,False,g_obs<<g_bar
NGC7814,True,PASS
PGC51017,False,OuterR
UGC00128,True,PASS
UGC00191,True,PASS
UGC00634,False,Points(4<5) | InnerR
UGC00731,True,PASS
UGC00891,True,PASS
UGC01230,True,PASS
UGC01281,False,OuterR | g_obs<<g_bar
UGC02023,False,OuterR
UGC02259,True,PASS
UGC02455,False,OuterR | g_obs<<g_bar
UGC02487,False,InnerR
UGC02885,True,PASS
UGC02916,True,PASS
UGC02953,True,PASS
UGC03205,True,PASS
UGC03546,False,g_obs<<g_bar
UGC03580,False,g_obs<<g_bar
UGC04278,True,PASS
UGC04305,False,OuterR | g_obs<<g_bar
UGC04325,False,OuterR
UGC04483,False,Range | OuterR
UGC04499,True,PASS
UGC05005,True,PASS
UGC05253,True,PASS
UGC05414,False,OuterR
UGC05716,True,PASS
UGC05721,True,PASS
UGC05750,True,PASS
UGC05764,False,OuterR
UGC05829,True,PASS
UGC05918,False,OuterR
UGC05986,True,PASS
UGC05999,False,InnerR
UGC06399,True,PASS
UGC06446,True,PASS
UGC06614,False,InnerR
UGC06628,True,PASS
UGC06667,True,PASS
UGC06786,True,PASS
UGC06787,True,PASS
UGC06818,True,PASS
UGC06917,True,PASS
UGC06923,False,OuterR
UGC06930,True,PASS
UGC06973,False,g_obs<<g_bar
UGC06983,True,PASS
UGC07089,True,PASS
UGC07125,True,PASS
UGC07151,False,OuterR
UGC07232,False,Points(4<5) | Range | OuterR
UGC07261,True,PASS
UGC07323,False,OuterR
UGC07399,True,PASS
UGC07524,True,PASS
UGC07559,False,Range | OuterR
UGC07577,False,Range | OuterR
UGC07603,False,OuterR
UGC07608,False,OuterR
UGC07690,False,OuterR
UGC07866,False,Range | OuterR
UGC08286,True,PASS
UGC08490,True,PASS
UGC08550,False,OuterR
UGC08699,False,g_obs<<g_bar
UGC08837,False,OuterR
UGC09037,False,g_obs<<g_bar
UGC09133,True,PASS
UGC09992,False,OuterR
UGC10310,True,PASS
UGC11455,False,g_obs<<g_bar
UGC11557,False,g_obs<<g_bar
UGC11820,True,PASS
UGC11914,True,PASS
UGC12506,True,PASS
UGC12632,True,PASS
UGC12732,True,PASS
UGCA281,False,Range | OuterR
UGCA442,True,PASS
UGCA444,False,Range | OuterR
